C_fF,RC_limited_data_rate_Gbps,RC_tau_ps,aggregate_bandwidth_TB_s,cap_binding,crosstalk_proxy_relative,material,pitch_um,practical_data_rate_Gbps_capped
14.045330843508289,45835.088796708485,0.00436346923831775,28.672,cap-limited,7.022665421754144,Gold,2.0,224.0
14.045330843508289,66570.00991902896,0.003004355869005665,28.672,cap-limited,7.022665421754144,Copper,2.0,224.0
14.045330843508289,19971.0029757087,0.010014519563352213,28.672,cap-limited,7.022665421754144,Tungsten,2.0,224.0
10.866951330698148,59240.99287835791,0.003376040648249577,28.672,cap-limited,3.622317110232716,Gold,3.0,224.0
10.866951330698148,86040.48965666266,0.002324487003712824,28.672,cap-limited,3.622317110232716,Copper,3.0,224.0
10.866951330698148,25812.146896998802,0.00774829001237608,28.672,cap-limited,3.622317110232716,Tungsten,3.0,224.0
8.456131765840961,76130.43460272145,0.002627070251781415,28.672,cap-limited,1.6912263531681924,Gold,5.0,224.0
8.456131765840961,110570.39311347637,0.0018088024684396631,28.672,cap-limited,1.6912263531681924,Copper,5.0,224.0
8.456131765840961,33171.11793404292,0.006029341561465543,28.672,cap-limited,1.6912263531681924,Tungsten,5.0,224.0
7.022665421754144,91670.17759341697,0.002181734619158875,28.672,cap-limited,0.877833177719268,Gold,8.0,224.0
7.022665421754144,133140.01983805792,0.0015021779345028325,28.672,cap-limited,0.877833177719268,Copper,8.0,224.0
7.022665421754144,39942.0059514174,0.005007259781676107,28.672,cap-limited,0.877833177719268,Tungsten,8.0,224.0
6.499567107617202,99047.97900107568,0.0020192234310790727,28.672,cap-limited,0.6499567107617202,Gold,10.0,224.0
6.499567107617202,143855.39807299085,0.0013902849853331325,28.672,cap-limited,0.6499567107617202,Copper,10.0,224.0
6.499567107617202,43156.61942189727,0.0046342832844437735,28.672,cap-limited,0.6499567107617202,Tungsten,10.0,224.0
5.724737721309022,112453.88308272512,0.0017785068378018821,28.672,cap-limited,0.38164918142060145,Gold,15.0,224.0
5.724737721309022,163325.87781062454,0.0012245456916012963,28.672,cap-limited,0.38164918142060145,Copper,15.0,224.0
5.724737721309022,48997.76334318738,0.00408181897200432,28.672,cap-limited,0.38164918142060145,Tungsten,15.0,224.0
5.278286588276633,121965.52339942993,0.00163980766388393,28.672,cap-limited,0.26391432941383164,Gold,20.0,224.0
5.278286588276633,177140.40303250533,0.001129047899723362,28.672,cap-limited,0.26391432941383164,Copper,20.0,224.0
5.278286588276633,53142.12090975162,0.0037634929990778723,28.672,cap-limited,0.26391432941383164,Tungsten,20.0,224.0
