material,model_validity,via_diameter_um,via_length_um,via_pitch_um,eps_r,coupling_factor,R_ohm,C_fF,L_pH,RC_tau_ps,RC_f3dB_GHz,RC_limited_data_rate_Gbps,practical_data_rate_Gbps_capped,vertical_lanes_per_bus_column,aggregate_bandwidth_TB_s,toggle_energy_fJ_per_lane,lane_dynamic_power_mW,aggregate_dynamic_power_W,crosstalk_proxy_relative
Gold,order-of-magnitude only; field-solver extraction required,1.0,10.000000000000002,5.000000000000001,3.5,2.0,0.31067044891537976,1.6912263531681926,5.877758908227875,0.000525414050356283,302913.3746689348,380652.1730136073,224.0,1024,28.672,0.4143504565262071,0.0928145022618704,0.09504205031615529,0.33824527063363846
Copper,order-of-magnitude only; field-solver extraction required,1.0,10.000000000000002,5.000000000000001,3.5,2.0,0.21390424351550744,1.6912263531681926,5.877758908227875,0.0003617604936879327,439945.6155905957,552851.9655673818,224.0,1024,28.672,0.4143504565262071,0.0928145022618704,0.09504205031615529,0.33824527063363846
Tungsten,order-of-magnitude only; field-solver extraction required,1.0,10.000000000000002,5.000000000000001,3.5,2.0,0.7130141450516913,1.6912263531681926,5.877758908227875,0.0012058683122931086,131983.68467717874,165855.5896702146,224.0,1024,28.672,0.4143504565262071,0.0928145022618704,0.09504205031615529,0.33824527063363846
