grid_x,grid_y,grid_z,physical_nodes,spare_fraction_percent,failure_rate_percent,mean_raw_usable_fraction,mean_remapped_usable_fraction,mean_remap_success_fraction,mean_remap_distance_hops,mean_largest_component_fraction,mean_reachable_pair_fraction_after_remap,mean_avg_shortest_path_after_remap,trials
8,8,10,640,15.0,0.0,1.0,1.0,1.0,nan,1.0,1.0,8.6476,50
8,8,10,640,15.0,1.0,0.9902941176470589,1.0,1.0,1.4585476190476188,0.99025,1.0,8.663599999999999,50
8,8,10,640,15.0,5.0,0.9497058823529413,1.0,1.0,1.6219534194411185,0.9499687500000001,1.0,8.530000000000001,50
8,8,10,640,15.0,10.0,0.9034926470588235,1.0,1.0,1.9518636591982483,0.9037500000000002,0.9980000000000001,8.737428571428572,50
8,8,10,640,15.0,20.0,0.8038235294117646,0.9461397058823531,0.7308157256910829,3.3237265983077666,0.7985,0.9879999999999999,9.420140483427414,50
